"type","date","metrics","value"
"PM10","20181229","8",32.8260869565217
"PM2.5","20181229","8",8.04347826086956
"AQI","20181229","10",30.25
"PM10","20181229","10",31.2083333333333
"PM2.5","20181229","10",8.95833333333333
"AQI","20181229","11",25.2608695652174
"PM10","20181229","11",23.7826086956522
"PM2.5","20181229","11",8.73913043478261
"AQI","20181229","12",26.3333333333333
"PM10","20181229","12",25.875
"PM2.5","20181229","12",10.1666666666667
"AQI","20181229","13",54.0416666666667
"PM10","20181229","13",61.5416666666667
"PM2.5","20181229","13",31.875
"AQI","20181229","14",64.9130434782609
"PM10","20181229","14",85.4285714285714
"PM2.5","20181229","14",23.695652173913
"AQI","20181229","15",36.375
"PM10","20181229","15",38.2916666666667
"PM2.5","20181229","15",12.5833333333333
"AQI","20181229","16",34.2608695652174
"PM10","20181229","16",34.2608695652174
"PM2.5","20181229","16",11
"AQI","20181229","17",30.4782608695652
"PM10","20181229","17",30.3913043478261
"PM2.5","20181229","17",11
"AQI","20181229","18",30.0416666666667
"PM10","20181229","18",29.125
"PM2.5","20181229","18",9.91666666666667
"AQI","20181229","19",30.9166666666667
"PM10","20181229","19",31.5833333333333
"PM2.5","20181229","19",9.875
"AQI","20181229","20",28.7083333333333
"PM10","20181229","20",25.5294117647059
"PM2.5","20181229","20",16.1666666666667
"AQI","20181229","21",27
"PM10","20181229","21",26.0833333333333
"PM2.5","20181229","21",12.6666666666667
"AQI","20181229","22",28.125
"PM10","20181229","22",28.7727272727273
"PM2.5","20181229","22",13.75
"AQI","20181229","23",39.4166666666667
"PM10","20181229","23",39.8333333333333
"PM2.5","20181229","23",14.875
"AQI","20181229","24",26.875
"PM10","20181229","24",26.0833333333333
"PM2.5","20181229","24",6.70833333333333
"AQI","20181229","25",51.4166666666667
"PM10","20181229","25",53.9583333333333
"PM2.5","20181229","25",16.8333333333333
"AQI","20181229","26",23.875
"PM10","20181229","26",17.0454545454545
"PM2.5","20181229","26",9.04166666666667
"AQI","20181229","27",21.5652173913043
"PM10","20181229","27",20
"PM2.5","20181229","27",9.95454545454546
"AQI","20181229","28",51.5
"PM10","20181229","28",61.5
"PM2.5","20181229","28",29.1666666666667
"AQI","20181229","29",87.125
"PM10","20181229","29",82.6363636363636
"PM2.5","20181229","29",63.625
"AQI","20181229","30",61.695652173913
"PM10","20181229","30",73.8260869565217
"PM2.5","20181229","30",40.304347826087
"AQI","20181229","31",25.5833333333333
"PM10","20181229","31",21.5
"PM2.5","20181229","31",10.875
"AQI","20181229","32",28.8333333333333
"PM10","20181229","32",29.4166666666667
"PM2.5","20181229","32",11.0416666666667
"AQI","20181229","33",27.5416666666667
"PM10","20181229","33",27.0909090909091
"PM2.5","20181229","33",11.125
"AQI","20181229","34",43.1666666666667
"PM10","20181229","34",45.9583333333333
"PM2.5","20181229","34",13.4166666666667
"AQI","20181229","35",31.5416666666667
"PM10","20181229","35",32.2083333333333
"PM2.5","20181229","35",10
"AQI","20181228","1",42.4583333333333
"PM10","20181228","1",46.4166666666667
"PM2.5","20181228","1",8.54166666666667
"AQI","20181228","2",40.2916666666667
"PM10","20181228","2",41.8333333333333
"PM2.5","20181228","2",6.79166666666667
"AQI","20181228","3",34.6086956521739
"PM10","20181228","3",34.7391304347826
"PM2.5","20181228","3",8.17391304347826
"AQI","20181228","4",38.6666666666667
"PM10","20181228","4",39.0416666666667
"PM2.5","20181228","4",9.83333333333333
"AQI","20181228","5",45.2083333333333
"PM10","20181228","5",49.75
"PM2.5","20181228","5",9.33333333333333
"AQI","20181228","6",44.25
"PM10","20181228","6",48.9583333333333
"PM2.5","20181228","6",9.58333333333333
"AQI","20181228","7",37.85
"PM10","20181228","7",38
"PM2.5","20181228","7",7.55
"AQI","20181228","8",30.1739130434783
"PM10","20181228","8",30.3913043478261
"PM2.5","20181228","8",5.17391304347826
"AQI","20181228","10",33.1666666666667
"PM10","20181228","10",33.4583333333333
"PM2.5","20181228","10",6.375
"AQI","20181228","11",30.4347826086957
"PM10","20181228","11",29.3913043478261
"PM2.5","20181228","11",10.4782608695652
"AQI","20181228","12",23.1666666666667
"PM10","20181228","12",22.7083333333333
"PM2.5","20181228","12",7.125
"AQI","20181228","13",42.1666666666667
"PM10","20181228","13",44.875
"PM2.5","20181228","13",12.6666666666667
"AQI","20181228","14",53.875
"PM10","20181228","14",61.8333333333333
"PM2.5","20181228","14",10.6666666666667
"AQI","20181228","15",44.2916666666667
"PM10","20181228","15",49.9565217391304
"PM2.5","20181228","15",8.04166666666667
"AQI","20181228","16",51.5416666666667
"PM10","20181228","16",59.375
"PM2.5","20181228","16",9.375
"AQI","20181228","17",40.1304347826087
"PM10","20181228","17",40.8260869565217
"PM2.5","20181228","17",8.8695652173913
"AQI","20181228","18",52.0833333333333
"PM10","20181228","18",61.4166666666667
"PM2.5","20181228","18",11.3333333333333
"AQI","20181228","19",44.8
"PM10","20181228","19",52.7
"PM2.5","20181228","19",6.85
"AQI","20181228","20",20.3333333333333
"PM10","20181228","20",17.1052631578947
"PM2.5","20181228","20",7.30434782608696
"AQI","20181228","21",25.5833333333333
"PM10","20181228","21",24.9090909090909
"PM2.5","20181228","21",7.91666666666667
"AQI","20181228","22",28.5833333333333
"PM10","20181228","22",27.6521739130435
"PM2.5","20181228","22",7.875
"AQI","20181228","23",58.5416666666667
"PM10","20181228","23",67.875
"PM2.5","20181228","23",12.5
"AQI","20181228","24",47.9583333333333
"PM10","20181228","24",54.2083333333333
"PM2.5","20181228","24",7
"AQI","20181228","25",84.3478260869565
"PM10","20181228","25",119.565217391304
"PM2.5","20181228","25",14.0434782608696
"AQI","20181228","26",23.5416666666667
"PM10","20181228","26",19.6363636363636
"PM2.5","20181228","26",5.83333333333333
"AQI","20181228","27",23
"PM10","20181228","27",22.6521739130435
"PM2.5","20181228","27",6.73913043478261
"AQI","20181228","28",55.5833333333333
"PM10","20181228","28",63.0833333333333
"PM2.5","20181228","28",15
"AQI","20181228","29",51.7083333333333
"PM10","20181228","29",55.4583333333333
"PM2.5","20181228","29",17.4166666666667
"AQI","20181228","30",61.4347826086956
"PM10","20181228","30",73.5652173913043
"PM2.5","20181228","30",22.9565217391304
"AQI","20181228","31",31.2083333333333
"PM10","20181228","31",29.6666666666667
"PM2.5","20181228","31",8.79166666666667
"AQI","20181228","32",32.5833333333333
"PM10","20181228","32",32.625
"PM2.5","20181228","32",9.45833333333333
"AQI","20181228","33",38.5
"PM10","20181228","33",38.7083333333333
"PM2.5","20181228","33",10.875
"AQI","20181228","34",41.2916666666667
"PM10","20181228","34",41.5416666666667
"PM2.5","20181228","34",10.125
"AQI","20181228","35",45.2916666666667
"PM10","20181228","35",48.75
"PM2.5","20181228","35",8.45833333333333
"AQI","20181227","1",55.2083333333333
"PM10","20181227","1",62.125
"PM2.5","20181227","1",8.83333333333333
"AQI","20181227","2",56.0833333333333
"PM10","20181227","2",63.875
"PM2.5","20181227","2",7.11111111111111
"AQI","20181227","3",48.1666666666667
"PM10","20181227","3",46.695652173913
"PM2.5","20181227","3",9.75
"AQI","20181227","4",51.5416666666667
"PM10","20181227","4",55.4583333333333
"PM2.5","20181227","4",11
"AQI","20181227","5",61.125
"PM10","20181227","5",73.7916666666667
"PM2.5","20181227","5",7.5
"AQI","20181227","6",52.5833333333333
"PM10","20181227","6",58.125
"PM2.5","20181227","6",9.79166666666667
"AQI","20181227","7",50.6086956521739
"PM10","20181227","7",54.8260869565217
"PM2.5","20181227","7",5.30434782608696
"AQI","20181227","8",44.8636363636364
"PM10","20181227","8",45.4090909090909
"PM2.5","20181227","8",5.27272727272727
"AQI","20181227","10",49.9166666666667
"PM10","20181227","10",57.5833333333333
"PM2.5","20181227","10",8.5
"AQI","20181227","11",38.4166666666667
"PM10","20181227","11",38.7083333333333
"PM2.5","20181227","11",7.45833333333333
"AQI","20181227","12",30.25
"PM10","20181227","12",29.75
"PM2.5","20181227","12",6.45454545454545
"AQI","20181227","13",51.75
"PM10","20181227","13",56.3333333333333
"PM2.5","20181227","13",6.58333333333333
"AQI","20181227","14",57.5833333333333
"PM10","20181227","14",67
"PM2.5","20181227","14",5.20833333333333
"AQI","20181227","15",56.4583333333333
"PM10","20181227","15",68
"PM2.5","20181227","15",7.25
"AQI","20181227","16",54.2916666666667
"PM10","20181227","16",62.7083333333333
"PM2.5","20181227","16",7.72727272727273
"AQI","20181227","17",37.9130434782609
"PM10","20181227","17",40.5217391304348
"PM2.5","20181227","17",4.52173913043478
"AQI","20181227","18",49
"PM10","20181227","18",55.7916666666667
"PM2.5","20181227","18",8.625
"AQI","20181227","19",42.375
"PM10","20181227","19",47.8333333333333
"PM2.5","20181227","19",5.29166666666667
"AQI","20181227","20",19.5416666666667
"PM10","20181227","20",14.8888888888889
"PM2.5","20181227","20",3.75
"AQI","20181227","21",21.1666666666667
"PM10","20181227","21",19.2727272727273
"PM2.5","20181227","21",3.79166666666667
"AQI","20181227","22",24.2083333333333
"PM10","20181227","22",22.875
"PM2.5","20181227","22",3.95833333333333
"AQI","20181227","23",47.3333333333333
"PM10","20181227","23",53.3333333333333
"PM2.5","20181227","23",8.875
"AQI","20181227","24",44.5
"PM10","20181227","24",49.4583333333333
"PM2.5","20181227","24",4.54166666666667
"AQI","20181227","25",92.75
"PM10","20181227","25",135.166666666667
"PM2.5","20181227","25",12.8333333333333
"AQI","20181227","26",27.625
"PM10","20181227","26",22.7826086956522
"PM2.5","20181227","26",4.33333333333333
"AQI","20181227","27",39.4583333333333
"PM10","20181227","27",40.4583333333333
"PM2.5","20181227","27",5.5
"AQI","20181227","28",61.875
"PM10","20181227","28",76.1666666666667
"PM2.5","20181227","28",13.5833333333333
"AQI","20181227","29",66.5416666666667
